Nro_Control;Monto_Total;Forma_Pago_1;Fecha_Pago_1;Referencia_1;Banco_1;Forma_Pago_2;Fecha_Pago_2;Referencia_2;Banco_2
745;2530.06;TJD;27/06/2025;008306;BANCARIBE;;;;
746;7628.13;TJD;27/06/2025;000566;BANCARIBE;;;;
747;2627.37;TJD;27/06/2025;373680;BANCARIBE;;;;
748;2711.74;TJD;27/06/2025;162635;BANCARIBE;;;;
749;2530.06;TJD;27/06/2025;013582;BANCARIBE;;;;
750;5254.74;TJD;27/06/2025;169481;BANCARIBE;;;;
751;9014.84;TJD;27/06/2025;008330;BANCARIBE;;;;
752;2530.06;TJD;27/06/2025;037264;BANCARIBE;;;;
753;2627.37;TJD;27/06/2025;607731;BANCARIBE;;;;
754;5085.42;TJD;27/06/2025;979718;BANCARIBE;;;;
755;542.71;TJD;27/06/2025;248646;BANCARIBE;;;;
760;2062.0;OTR;20/06/2025;25393925;BANCARIBE;;;;
762;2542.71;TRA;26/06/2025;3701151759763;BANCARIBE;;;;
763;2530.06;OTR;26/06/2025;000283213871;BANCARIBE;;;;
764;2530.06;OTR;26/06/2025;617759823961;BANCARIBE;;;;
765;2613.0;OTR;13/06/2025;270410064;BANCARIBE;;;;
767;4476.26;TRA;25/06/2025;64303943;BANCARIBE;;;;
768;2755.4;OTR;24/06/2025;071031286932;BANCARIBE;;;;
769;2755.4;OTR;24/06/2025;071031286932;BANCARIBE;;;;
770;2755.4;OTR;27/06/2025;071031286932;BANCARIBE;;;;
771;8952.52;OTR;27/06/2025;284182215;BANCARIBE;;;;
779;2758.32;OTR;17/06/2025;000274234261;BANCARIBE;;;;
800;2646.0;OTR;27/06/2025;59838859;BANCARIBE;;;;
801;2542.71;OTR;30/06/2025;418446576;BANCARIBE;;;;
802;2540.0;OTR;30/06/2025;55692063;BANCARIBE;;;;
803;2530.06;TRA;08/06/2025;3701149638953;BANCARIBE;;;;
804;10170.84;TJD;30/06/2025;847855;BANCARIBE;;;;
805;5060.12;TRA;19/06/2025;0790051034819;BANCARIBE;;;;
806;2627.37;TJD;30/06/2025;032404;BANCARIBE;;;;
808;3794.82;TJD;30/06/2025;852844;BANCARIBE;;;;
809;2238.13;TJD;30/06/2025;362375;BANCARIBE;;;;
811;2238.13;TJD;30/06/2025;362375;BANCARIBE;;;;
812;2600.0;TRA;24/06/2025;3701151584740;BANCARIBE;;;;
814;2542.71;TJD;30/06/2025;952338;BANCARIBE;;;;
815;2530.7;TRA;30/06/2025;63943813;BANCARIBE;;;;
816;2542.71;TJD;30/06/2025;962838;BANCARIBE;;;;
818;2530.06;TJD;30/06/2025;870327;BANCARIBE;;;;
820;5254.74;TJD;30/06/2025;524081;BANCARIBE;;;;
824;5060.12;TJD;30/06/2025;000911;BANCARIBE;;;;
825;2627.37;TJD;30/06/2025;101185;BANCARIBE;;;;
829;5085.42;TJD;30/06/2025;643715;BANCARIBE;;;;
842;9456.48;TRA;14/05/2025;20410386472;BANCARIBE;;;;
850;4375.0;TRA;16/06/2025;20418522090;BANCARIBE;;;;
853;38924.0;TRA;27/06/2025;3701151945793;BANCARIBE;;;;
857;2628.0;TRA;24/06/2025;3545720263;BANCARIBE;;;;
865;1582.0;OTR;23/06/2025;280919159;BANCARIBE;;;;
879;5060.12;TJD;30/06/2025;393383;BANCARIBE;;;;
881;2542.71;TJD;30/06/2025;367097;BANCARIBE;;;;
883;2627.37;TJD;30/06/2025;443694;BANCARIBE;;;;
884;5085.42;TJD;30/06/2025;167492;BANCARIBE;;;;
887;11000.0;TJD;30/06/2025;171525;BANCARIBE;;;;
893;3000.0;TRA;30/06/2025;64555685;BANCARIBE;;;;
894;516.72;TJD;30/06/2025;915869;BANCARIBE;;;;
895;6325.15;TJD;30/06/2025;045942;BANCARIBE;;;;
896;9262.94;TJD;30/06/2025;974480;BANCARIBE;;;;
