Nro_Control;Monto_Total;Forma_Pago_1;Fecha_Pago_1;Referencia_1;Banco_1;Forma_Pago_2;Fecha_Pago_2;Referencia_2;Banco_2
196;2500.0;TRA;04/06/2025;3701149199893;BANCARIBE;;;;
199;2542.71;TJD;09/06/2025;585290;BANCARIBE;;;;
200;1362.34;TJD;09/06/2025;910092;BANCARIBE;;;;
201;2627.37;TRA;03/06/2025;3701149069123;BANCARIBE;;;;
203;5254.74;TJD;09/06/2025;000316;BANCARIBE;;;;
208;2542.71;TJD;09/06/2025;212786;BANCARIBE;;;;
209;10509.48;TJD;09/06/2025;848371;BANCARIBE;;;;
211;2627.37;TJD;09/06/2025;007842;BANCARIBE;;;;
212;2542.71;TJD;09/06/2025;521669;BANCARIBE;;;;
213;2627.37;TJD;09/06/2025;068110;BANCARIBE;;;;
214;2627.37;TJD;09/06/2025;948844;BANCARIBE;;;;
218;5254.74;TJD;09/06/2025;344080;BANCARIBE;;;;
219;2542.71;TJD;09/06/2025;463094;BANCARIBE;;;;
220;2542.71;TJD;09/06/2025;053596;BANCARIBE;;;;
221;2542.71;TJD;09/06/2025;220833;BANCARIBE;;;;
222;2542.71;TJD;09/06/2025;012224;BANCARIBE;;;;
223;2627.37;TJD;09/06/2025;474296;BANCARIBE;;;;
227;2627.37;TJD;10/06/2025;961467;BANCARIBE;;;;
233;1058.16;TJD;10/06/2025;561676;BANCARIBE;;;;
235;5060.12;TJD;10/06/2025;741247;BANCARIBE;;;;
248;10170.84;TJD;11/06/2025;0440575;BANCARIBE;;;;
260;4698.0;OTR;17/05/2025;613752485151;BANCARIBE;;;;
261;2364.12;TRA;30/05/2025;79058949;BANCARIBE;;;;
268;7882.11;OTR;05/06/2025;000262572570;BANCARIBE;;;;
269;2628.0;OTR;05/06/2025;368659;BANCARIBE;;;;
274;5085.42;TRA;08/06/2025;20416506296;BANCARIBE;;;;
279;2542.71;TJD;12/06/2025;970276;BANCARIBE;;;;
292;2615.22;OTR;30/05/2025;615054736795;BANCARIBE;;;;
293;2364.39;OTR;29/06/2025;051491905752;BANCARIBE;;;;
295;7034.0;OTR;30/05/2025;000255917971;BANCARIBE;;;;
296;2290.0;OTR;30/05/2025;000257397984;BANCARIBE;;;;
298;3965.0;TRA;10/06/2025;11174518;BANCARIBE;;;;
299;1900.0;OTR;02/06/2025;00054011178;BANCARIBE;;;;
302;2542.71;OTR;06/06/2025;3542037074;BANCARIBE;;;;
304;2543.0;OTR;03/06/2025;051544256925;BANCARIBE;;;;
305;2542.71;OTR;11/06/2025;000268224226;BANCARIBE;;;;
307;5255.0;OTR;09/06/2025;51608683262;BANCARIBE;;;;
309;4640.0;OTR;02/06/2025;051530700321;BANCARIBE;;;;
310;2627.37;TRA;09/06/2025;000266476997;BANCARIBE;;;;
311;2542.71;OTR;10/06/2025;00026713691;BANCARIBE;;;;
312;1752.0;OTR;05/06/2025;0811922262003;BANCARIBE;;;;
313;2288.0;TRA;05/06/2025;51175012;BANCARIBE;;;;
314;4000.0;OTR;11/06/2025;268510181;BANCARIBE;;;;
315;2676.24;OTR;10/06/2025;051610782114;BANCARIBE;;;;
317;1613.0;OTR;09/06/2025;000266334665;BANCARIBE;;;;
318;3960.0;TRA;09/06/2025;61354527990;BANCARIBE;;;;
319;2576.34;OTR;12/06/2025;00266704213;BANCARIBE;;;;
320;2643.3;TRA;05/06/2025;14016573;BANCARIBE;;;;
360;24000.0;TJD;16/06/2025;698829;BANCARIBE;;;;
361;5041.68;TJD;16/06/2025;595480;BANCARIBE;;;;
363;5085.42;TJD;16/06/2025;161770;BANCARIBE;;;;
364;2542.71;TJD;16/06/2025;562064;BANCARIBE;;;;
366;5060.12;TJD;16/06/2025;105683;BANCARIBE;;;;
367;4476.26;TJD;16/06/2025;164580;BANCARIBE;;;;
368;5254.74;TJD;16/06/2025;060349;BANCARIBE;;;;
369;2530.06;TJD;16/06/2025;332993;BANCARIBE;;;;
371;5085.42;TJD;16/06/2025;071131;BANCARIBE;;;;
377;2542.71;TJD;16/06/2025;578855;BANCARIBE;;;;
378;2238.13;TJD;17/06/2025;015379;BANCARIBE;;;;
379;5254.74;TJD;17/06/2025;746877;BANCARIBE;;;;
380;5254.74;TJD;17/06/2025;749591;BANCARIBE;;;;
381;20341.68;TJD;17/06/2025;322074;BANCARIBE;;;;
382;5085.42;TJD;17/06/2025;394674;BANCARIBE;;;;
383;2530.06;TJD;17/06/2025;414095;BANCARIBE;;;;
384;4476.26;TJD;17/06/2025;525889;BANCARIBE;;;;
385;2627.37;TJD;17/06/2025;970683;BANCARIBE;;;;
386;5060.12;TJD;17/06/2025;142682;BANCARIBE;;;;
387;5060.12;TJD;17/06/2025;780653;BANCARIBE;;;;
388;2627.37;TJD;17/06/2025;035072;BANCARIBE;;;;
389;5157.43;TJD;17/06/2025;877503;BANCARIBE;;;;
390;5085.42;TJD;17/06/2025;802209;BANCARIBE;;;;
391;2724.68;TJD;17/06/2025;932745;BANCARIBE;;;;
416;4476.26;OTR;16/06/2025;273169564;BANCARIBE;;;;
417;7592.07;OTR;16/06/2025;000273374221;BANCARIBE;;;;
418;36.0;OTR;16/06/2025;000273374221;BANCARIBE;;;;
419;2724.68;OTR;17/06/2025;000274222832;BANCARIBE;;;;
420;7300.0;OTR;13/06/2025;270191728;BANCARIBE;;;;
421;2542.71;OTR;17/06/2025;051688200837;BANCARIBE;;;;
424;2542.71;TJD;18/06/2025;393078;BANCARIBE;;;;
425;2542.71;TJD;18/06/2025;393078;BANCARIBE;;;;
426;2542.71;TJD;18/06/2025;000365;BANCARIBE;;;;
427;2542.71;TJD;18/06/2025;455396;BANCARIBE;;;;
428;2542.71;TJD;18/06/2025;130180;BANCARIBE;;;;
430;2542.71;TJD;18/06/2025;130180;BANCARIBE;;;;
431;2542.71;TJD;18/06/2025;130180;BANCARIBE;;;;
432;2530.06;TJD;18/06/2025;214979;BANCARIBE;;;;
433;2530.06;TJD;18/06/2025;214979;BANCARIBE;;;;
434;1946.2;TJD;18/06/2025;464376;BANCARIBE;;;;
435;1946.2;TJD;18/06/2025;464376;BANCARIBE;;;;
436;2627.37;TJD;18/06/2025;007227;BANCARIBE;;;;
437;2542.71;TJD;18/06/2025;244980;BANCARIBE;;;;
438;2196.96;TJD;18/06/2025;091029;BANCARIBE;;;;
439;2627.37;TJD;18/06/2025;353473;BANCARIBE;;;;
440;2627.37;TJD;18/06/2025;440380;BANCARIBE;;;;
441;2238.13;TJD;18/06/2025;504179;BANCARIBE;;;;
442;5085.42;TJD;18/06/2025;972723;BANCARIBE;;;;
443;2919.3;TJD;18/06/2025;565976;BANCARIBE;;;;
444;15180.36;TJD;18/06/2025;024349;BANCARIBE;;;;
445;7590.18;TJD;18/06/2025;076805;BANCARIBE;;;;
446;5085.42;TJD;18/06/2025;192892;BANCARIBE;;;;
447;7628.13;TJD;18/06/2025;201587;BANCARIBE;;;;
448;2627.37;TJD;18/06/2025;224793;BANCARIBE;;;;
449;2530.06;TJD;18/06/2025;224793;BANCARIBE;;;;
450;2627.37;TJD;18/06/2025;024151;BANCARIBE;;;;
451;2627.37;TJD;18/06/2025;161448;BANCARIBE;;;;
456;2542.71;TJD;18/06/2025;170947;BANCARIBE;;;;
